ticker,name,country,market,exchange,currency,instrument_type,sector,industry,preferred_data_provider,eligible_for_investment,eligible_as_benchmark,min_liquidity_required_usd,analysis_priority,notes
GGAL.BA,Grupo Financiero Galicia,AR,BYMA,BYMA,ARS,common_stock,Financials,Banks,stooq_csv,true,false,500000,80,Acción local Argentina preparada para broad_market
YPFD.BA,YPF Sociedad Anónima,AR,BYMA,BYMA,ARS,common_stock,Energy,Oil & Gas Integrated,stooq_csv,true,false,500000,81,Acción local Argentina preparada para broad_market
PAMP.BA,Pampa Energía,AR,BYMA,BYMA,ARS,common_stock,Utilities,Integrated Utilities,stooq_csv,true,false,500000,82,Acción local Argentina preparada para broad_market
